id_author,name_author,surname_author,isbn,tittle_book,name_publisher,book_available,book_id,id_person1,telephone,name,surname,attrbutte,date_hiring,hire_date,tittle_category,id_category,id_person2,name2
1,Artemas,Hambly,388603187-X,Dangerous Pla,"Hodkiewicz, Nicolas and Bode",NO,756,960,4266004508,Emelita,Rutter,Teacher,7/16/68,1/3/73,Film,1003,929,
2,Elka,Cramer,572362004-5,Salvation,"Pacocha, Fay and Pfeffer",YES,704,905,5915962095,Suellen,Gilliatt,Student,7/23/92,8/5/79,Sports,1005,913,
3,Belva,Skeldon,613170162-8,Outsiders,Breitenberg-Hickle,NO,724,928,2116944131,Shea,Cattermoul,Other,4/6/98,5/1/83,Movies,1012,980,
4,Shena,Giovannazzi,943544365-6,Raven,Wiza and Sons,NO,713,917,8042858379,Greggory,Ismead,Student,8/25/88,12/4/77,Fashion,1026,908,
5,Candi,Sagrott,622268928-0,Black Sheep,"Green, Wuckert and Lindgren",YES,707,911,8461881723,Marilin,Hurlin,Student,12/14/64,7/7/97,Human Rights,1038,952,
6,Hyacinthia,Minigo,726193109-8,Standard Operating ,"Goyette, Boehm and Stroman",NO,751,955,8339460765,Ezmeralda,Fagge,Student,7/2/80,4/27/83,Pop Culture,1044,950,
7,Mendel,Heinish,708203228-5,Nazis Strike,"Yost, Streich and Maggio",NO,721,925,4934541601,Marlyn,Faye,Student,10/23/69,4/15/86,United States,6787,939,
8,Chancey,Roswarn,838709555-9,Gun Fury,Reynolds LLC,NO,723,927,5722757763,Cal,Defont,Student,8/15/84,7/13/69,Political Economy,1047,969,
9,Briny,Ruprechter,011485267-7,Milk and Honey,"Dickens, Lynch and McCullough",YES,767,971,6513905833,Kippy,Weavers,Student,5/3/91,4/26/88,Golf,1048,944,
10,Hillel,Culpan,398323330-9,Human Touch,Bechtelar LLC,YES,763,967,8489999886,Bronnie,Ausher,Other,5/23/93,4/14/06,Superheroes,1050,959,
11,Orelie,Poli,652248956-2,Duck Season (Temporada de patos),"Schmeler, Wiegand and Kshlerin",NO,779,983,1344193535,Sydney,Raubheim,Teacher,1/16/96,10/23/79,Comic Books,1064,901,
12,Rena,Kesteven,602675968-9,Playing 'In the Company of Men' ,Gerhold-Gerhold,NO,714,918,1052362993,Anetta,Vedyashkin,Student,7/17/94,8/21/88,Extreme Sports,9089,949,
13,Shaylyn,Siggs,435105436-0,Bandidas,"Cartwright, Ullrich and Sauer",YES,752,956,2335232858,Pearle,Splain,Other,1/13/73,1/7/06,Calligraphy,2345,953,
14,Noella,Coutts,206139628-3,Marilena ,"Spinka, Schultz and Schumm",NO,772,976,9135328899,Deedee,Klausen,Teacher,8/9/94,1/21/00,Agnosticism,2676,962,
15,Issi,O'Skehan,276401588-7,Koi... Mil Gaya,Collins LLC,NO,761,965,8169888080,Burton,Ivery,Other,7/13/67,11/12/18,Christian,1070,998,
16,Lillis,Andreu,106390886-8,White Nights,"Fay, Kuhic and Larson",NO,101,903,6029435656,Carmina,Greenaway,Teacher,6/16/83,6/25/16,Television,1071,914,
17,Ailey,Teaze,003359798-7,"Punisher, The","Grimes, Toy and Kuhic",NO,712,916,5278916186,Lynea,Smalcombe,Student,10/21/84,12/19/60,Eastern,6564,919,
18,Zacharia,Summerside,515840288-4,Momma's Man,Quitzon and Sons,NO,780,984,9336752858,Rolland,Incogna,Other,10/10/89,6/30/11,Christian Living,1073,907,
19,Cherri,Langeren,919992136-7,"Ace of Aces (a.k.a. Super Ace, The) (As des as, L')",Padberg-Ruecker,YES,781,985,1561399959,Rickey,Deaconson,Student,11/28/83,1/23/68,Customs & Traditions,1079,934,
20,Ericka,Marjanovic,392936621-5,Smokey and the Bandit,"Terry, Baumbach and Gerlach",NO,750,954,6111210770,Idaline,Gillford,Student,12/7/76,2/17/05,Other Religions & Sacred Texts,1081,966,
21,Eleonore,Hanley,492210670-7,Godzilla vs. Megaguirus (Gojira tai Megagirasu: Jî shômetsu sakusen),Barrows Inc,NO,791,995,1572408028,Bess,Stockoe,Student,4/6/00,7/6/11,Theater,8001,924,
22,Lacy,Holberry,424304523-2,Last Train Home,Fay-Koepp,YES,743,947,2345386914,Nonna,Merrin,Other,1/24/97,6/18/72,Fantasy,8002,986,
23,Bevan,Jamison,858029276-X,"Last Days of Disco, The","Hane, Reilly and Reichert",NO,754,958,4856850054,Emelyne,Glossop,Other,8/24/79,2/6/90,Graphic Novels,1082,957,
24,Mattie,Glasner,510477070-2,The Ghost Story of Oiwa's Spirit,"Hane, Bernier and Strosin",NO,769,973,6265465363,Lillian,Puttergill,Other,9/23/77,5/9/73,Military,1091,988,
25,Jennee,Donnel,554579580-4,Den sommeren jeg fylte 15,Green-Crooks,NO,733,937,8702959722,Brig,Haughian,Other,12/27/85,5/16/88,Historical,1097,968,
26,Afton,Burry,120652337-9,War of the Dead - Stone's War ,Wilkinson-Crona,YES,785,989,4747254930,Magdalen,Virgo,Student,9/25/75,6/19/96,Marketing,1098,991,
